AUTO_ID,AGENT_ID,TYPE_ACTION,CREATE_DATE
262425,bpomb09,START_SHIFT,1751673632000
262429,bpomb09,START_BREAK,1751673635000
262430,bpomb09,START_WORKING,1751674175000
262431,bpomb09,START_BREAK,1751677473000
262432,bpomb09,START_WORKING,1751677865000
262433,bpomb09,START_BREAK,1751692027000
262426,bpomb09,END_SHIFT,1751692548000
262434,bpomb09,START_WORKING,1751692550000
262427,bpomb09,START_SHIFT,1751694473000
262435,bpomb09,START_BREAK,1751712879000
262428,bpomb09,END_SHIFT,1751713223000
262436,bpomb09,START_WORKING,1751713224000
263069,bpomb09,START_SHIFT,1751760002000
263073,bpomb09,START_BREAK,1751760004000
